countryName,neighborImmigrant,childrenHardWork,childrenFaith,neighborReligion,HomosexJustify,EnvImp,fightCountry,trust,SuicideJus,religiousPerson,NationProud,universityManImp,divorceJus,BetterLeader,childrenImagination,neighborRace,childrenThrift
Saudi Arabia,33.1,41.9,70.6,40.4,1.38,33.4,,50.5,1.27,63.6,168.5,99.2,4.56,119.4,31.1,37.7,31.5
Singapore,25.9,63.7,30.1,,2.57,34.7,77.5,16.7,2,,136.7,17.7,3.55,54.2,13.5,4.7,43.8
Viet Nam,32.9,75.5,8.2,,1.65,56.9,94,38.7,1.45,36.4,174.6,28.2,2.75,67.5,20.2,32.2,48.1
South Africa,30.6,75.3,61.4,,3.16,33.5,58.3,11.5,2.23,76.8,168.9,24,4.11,57.5,20,23.6,37.1
Zimbabwe,20.5,85.3,74.1,,1.1,33.3,46.7,11.7,1.22,87.4,168.2,23.8,1.97,64.6,11.1,19.8,20.5
Spain,10.8,68.9,20.3,,6.17,47.9,37.3,32.7,3.14,62.2,150.1,14.5,6.42,21.2,25.2,11.5,31.4
Sweden,2.8,3.9,4.9,,7.65,69.4,,63.7,4.12,37.1,120.1,7.7,7.8,22.6,40.4,2.5,30.5
Turkey,37,74.3,44.1,35.1,,64.3,,18.6,,78.8,151.1,40.4,,83.4,23,31,28.7
Uganda,13,85.6,68.5,,1.25,37.5,52.4,7.6,1.16,93.3,155.1,27.2,3.02,90.1,11.3,18.2,10.7
Macedonia,18.6,36.9,26.9,,1.93,44,71.8,13.1,1.44,82.3,136.3,16.6,4.15,55,13.2,19,39.5
Egypt,57.7,38.4,87.3,,1.01,51.1,,37.5,1.18,98.4,180.6,46.3,4.59,138.4,15.4,34.2,8
Tanzania,17.5,83,75.1,,1.15,57.8,86.9,7.7,1.14,89.5,174.7,24.4,4.02,66,61,16.7,53.5
United States,10.1,60.8,52.1,,4.75,59.2,64.8,35.5,2.67,81.2,165.4,9.5,5.93,26.3,30,8,22.8
Venezuela,17.9,26.6,44.7,17.2,2.44,66.2,76.3,15.8,1.55,77.6,187.6,23.5,4.77,59.7,23.8,15.5,39
Serbia,7.8,74.8,20.7,,1.96,41.1,55,18.3,1.8,68.2,106.4,24.6,5.38,54.8,10.4,6.1,30.8
Montenegro,20.1,82.2,21.7,,1.45,32.1,47.6,32.9,2.54,62.5,65.7,29.9,5.22,67.2,11.7,19.1,38.3
Israel,,24.2,29.1,,4.89,29.5,75.1,22.9,,,135.9,,6.48,,22.8,,19.8
Japan,,27.1,6.5,,4.36,34,15.6,39.6,3.03,23.1,75.3,20.8,6.38,34.2,34.5,,48.1
Iraq,,,92,34.8,,,35.2,46.1,,84.4,169.9,72.1,2,155.1,,,28.2
